test/stochastic/0/push-v1/return	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/1/window-close-v1/return	test/stochastic/1/window-close-v1/ep_length	test/stochastic/1/window-close-v1/success	test/stochastic/2/hammer-v1/return	test/stochastic/2/hammer-v1/ep_length	test/stochastic/2/hammer-v1/success	test/stochastic/3/push-v1/return	test/stochastic/3/push-v1/ep_length	test/stochastic/3/push-v1/success	test/stochastic/4/window-close-v1/return	test/stochastic/4/window-close-v1/ep_length	test/stochastic/4/window-close-v1/success	test/stochastic/5/hammer-v1/return	test/stochastic/5/hammer-v1/ep_length	test/stochastic/5/hammer-v1/success	test/stochastic/average_success	epoch	train/return	train/ep_length	total_env_steps	current_task_steps	train/q1	train/q2	train/logp_pi	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/alpha/1	train/alpha/2	train/alpha/3	train/alpha/4	train/alpha/5	train/loss_reg	train/success	train/active_env	walltime
-85.32614358046804	200.0	0.0	-92.25379703475667	200.0	0.0	-101.24428531272724	200.0	0.0	-72.64543757461597	200.0	0.0	-74.12939682524402	200.0	0.0	-74.23852276246672	200.0	0.0	0.0	1	-44.32936489084187	200.0	20000	20000	109.52759	109.527794	2.926637	-111.46841	9.4807825	9.434168	0.18374884886152454	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.0	0	394.46567010879517
31.423337175732865	200.0	0.0	-65.63472670934978	200.0	0.0	-101.76238266806364	200.0	0.0	-89.57703270744175	200.0	0.0	-48.81012566308674	200.0	0.0	-52.39465345890535	200.0	0.0	0.0	2	201.94123656269713	200.0	40000	40000	211.73317	211.77693	5.908924	-216.3439	1119.8782	1033.7585	0.16655396420694887	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.02	0	1024.4100096225739
-6.532663843791423	200.0	0.1	-32.92848050014375	200.0	0.0	-91.14503014111801	200.0	0.0	-47.75990941512764	200.0	0.0	-82.32228970085137	200.0	0.0	-46.1309335183671	200.0	0.0	0.016666666666666666	3	535.2240812518136	200.0	60000	60000	1484.4044	1484.4592	4.052164	-1505.7452	6607.276	6687.3384	0.729243922278285	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.03	0	1706.8150658607483
-51.0604695741885	200.0	0.0	-80.49131505222613	200.0	0.0	-86.28917463981328	200.0	0.0	-31.28460847893593	200.0	0.0	-26.884526183498984	200.0	0.0	-70.66908996443564	200.0	0.0	0.0	4	1998.2624774837352	200.0	80000	80000	1965.7242	1965.8042	4.031642	-1980.2666	14713.68	14760.341	0.8496622012376785	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.04	0	2387.3361434936523
18954.96771097779	200.0	0.1	-72.46458195160824	200.0	0.0	-68.54644828866057	200.0	0.0	-66.07646327159598	200.0	0.0	-102.95195907492491	200.0	0.0	-91.09985867607885	200.0	0.0	0.016666666666666666	5	6654.131405079233	200.0	100000	100000	2395.843	2396.0354	4.0998054	-2415.6536	46402.207	46706.133	1.4522387565076351	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.13	0	3094.6144363880157
4943.75331783086	200.0	0.1	-59.91741580770132	200.0	0.0	-56.584565478282364	200.0	0.0	-34.1009669856697	200.0	0.1	758.1458450622279	200.0	0.0	-52.84226422800443	200.0	0.0	0.03333333333333333	6	17577.5387727031	200.0	120000	120000	5302.4175	5302.4727	4.031881	-5378.6206	131587.58	131135.03	3.8111286401748656	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.21	0	3798.833202123642
46547.103879202856	200.0	0.5	-83.27347249478068	200.0	0.0	-70.96125741262242	200.0	0.0	176.83128589289043	200.0	0.0	-72.17781211075787	200.0	0.0	-87.4174391154229	200.0	0.0	0.08333333333333333	7	47516.6679480316	200.0	140000	140000	11669.266	11669.21	4.0137033	-11799.586	312905.4	309012.84	6.503032988452912	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.44	0	4493.981426715851
37316.41059509298	200.0	0.2	-88.63119703937366	200.0	0.0	-40.65155419605768	200.0	0.0	-48.36254406340888	200.0	0.0	-52.507742398586764	200.0	0.0	-60.66878847413604	200.0	0.0	0.03333333333333333	8	74993.07700355061	200.0	160000	160000	19543.027	19542.898	4.0060277	-19729.959	612502.75	616452.2	9.59116693792343	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.61	0	5191.214636325836
60268.49839246869	200.0	0.5	-29.506320174548854	200.0	0.0	-56.736674243563925	200.0	0.0	-65.77513271671921	200.0	0.0	-39.33288405181616	200.0	0.0	-65.85000718563163	200.0	0.0	0.08333333333333333	9	87904.32298618963	200.0	180000	180000	26739.39	26739.307	4.0071497	-26932.531	1066565.6	1071953.6	11.477439430189133	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.7	0	5880.602295160294
157512.22790668544	200.0	0.8	-60.77699624699714	200.0	0.0	-61.78033743622707	200.0	0.0	-52.93313860763302	200.0	0.0	-79.00804910027922	200.0	0.0	-104.48180252554653	200.0	0.0	0.13333333333333333	10	105676.08681975197	200.0	200000	200000	31764.016	31763.77	4.003936	-31941.748	1504830.5	1522753.6	12.766907420873641	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.68	0	6571.1773319244385
79947.60612311575	200.0	0.7	-27.01138040020295	200.0	0.0	-36.37922571665438	200.0	0.0	103.42343825013268	200.0	0.0	-54.465537711534	200.0	0.0	-94.6475061548576	200.0	0.0	0.11666666666666667	11	121925.6771569149	200.0	220000	220000	36750.074	36750.023	4.0032053	-36939.645	1846246.0	1867624.5	14.916660015439987	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.75	0	7247.58972120285
80257.88077306283	200.0	0.8	-30.332453513005134	200.0	0.0	-40.56351198270653	200.0	0.0	-34.61886493943204	200.0	0.0	-25.111364924546642	200.0	0.0	-105.08422340125813	200.0	0.0	0.13333333333333333	12	120977.85680975637	200.0	240000	240000	42824.617	42825.117	4.002251	-43031.17	1994274.6	2013134.0	17.556925596380236	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.83	0	7928.439865350723
